/Data/20210412135229.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.3533334, -1.16402, 1.019265, -0.9271071, -1.271424, 0.6570145, -0.8526351, -1.271424, 0.6570145, -0.8526351, 59.87809, 303.0171, 44.56171, 304.5297, 125.979, 177.9254, 304.5297, 125.979, 177.9254, True, False, False
0.4615628, -1.048307, 1.34077, -0.9764714, -1.271624, 0.6570737, -0.8528204, -1.271624, 0.6570737, -0.8528204, 56.21868, 299.3102, 3.914515, 304.5726, 125.9536, 177.9406, 304.5726, 125.9536, 177.9406, True, False, False
0.5726715, -1.04871, 1.333925, -0.9666103, -1.271516, 0.6570748, -0.8526423, -1.271516, 0.6570748, -0.8526423, 56.83345, 301.4157, 3.004933, 304.5775, 125.9542, 177.9456, 304.5775, 125.9542, 177.9456, True, False, False
0.6751738, -1.053541, 1.328218, -0.9616104, -1.271572, 0.6570989, -0.8527801, -1.271572, 0.6570989, -0.8527801, 58.57941, 304.225, 5.384702, 304.5866, 125.9661, 177.9312, 304.5866, 125.9661, 177.9312, True, False, False
0.7835318, -1.061378, 1.320968, -0.9695309, -1.27186, 0.6573023, -0.8530309, -1.27186, 0.6573023, -0.8530309, 62.81536, 300.7325, 6.280829, 304.5901, 125.9501, 177.9413, 304.5901, 125.9501, 177.9413, True, False, False
0.8840492, -1.081121, 1.326158, -0.9796815, -1.271506, 0.6569984, -0.8526275, -1.271506, 0.6569984, -0.8526275, 60.84184, 300.6801, 5.722946, 304.5876, 125.9435, 177.9426, 304.5876, 125.9435, 177.9426, True, False, False
0.9864768, -1.098809, 1.329107, -0.9908705, -1.271361, 0.6568691, -0.852514, -1.271361, 0.6568691, -0.852514, 59.38445, 298.1512, 5.2262, 304.5795, 125.933, 177.9498, 304.5795, 125.933, 177.9498, True, False, False
1.094328, -1.078044, 1.31423, -0.9656941, -1.271327, 0.6568879, -0.8524811, -1.271327, 0.6568879, -0.8524811, 60.02805, 298.0118, 3.308453, 304.5753, 125.9511, 177.9356, 304.5753, 125.9511, 177.9356, True, False, False
1.196528, -1.08136, 1.308562, -0.9596179, -1.271395, 0.6570307, -0.8528016, -1.271395, 0.6570307, -0.8528016, 59.89799, 298.8221, 4.384636, 304.5881, 125.9644, 177.9275, 304.5881, 125.9644, 177.9275, True, False, False
1.298134, -1.086531, 1.304652, -0.9535179, -1.271463, 0.6569113, -0.8525221, -1.271463, 0.6569113, -0.8525221, 60.43088, 297.2279, 2.97044, 304.5856, 125.9452, 177.9473, 304.5856, 125.9452, 177.9473, True, False, False
