/Data/20211211145837.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.1253069, -0.01216231, 1.535359, -0.2517683, 0.179265, 0.808072, -0.2991428, -0.1815023, 0.7982144, -0.3420162, 46.86023, 357.0026, 357.9961, 10.5926, 16.58133, 345.0278, 22.13443, 338.2249, 24.45127, True, False, False
0.2284427, -0.02540811, 1.634006, -0.2873787, 0.179852, 0.8104851, -0.2940369, -0.1850758, 0.7993762, -0.340097, 9.148626, 346.2244, 353.6976, 9.893746, 16.1829, 345.2842, 21.98032, 338.4456, 24.19961, True, False, False
0.3389094, -0.01353031, 1.610394, -0.2827787, 0.1800742, 0.8140206, -0.2897458, -0.1854439, 0.8030686, -0.3353109, 22.19018, 354.5135, 355.2528, 8.656727, 16.45645, 344.76, 20.67827, 338.6594, 24.65995, True, False, False
0.4391317, -0.006380379, 1.594509, -0.2794047, 0.1793733, 0.8163113, -0.2893085, -0.1840034, 0.8037974, -0.3360801, 29.59798, 359.7269, 356.5247, 8.191318, 16.15878, 344.6135, 20.83689, 339.2057, 25.12556, True, False, False
0.549875, -0.0006855875, 1.578937, -0.2749896, 0.180603, 0.8166324, -0.2914014, -0.1820331, 0.8044457, -0.336658, 35.79189, 2.888374, 357.6381, 8.227923, 16.41662, 344.741, 21.13985, 339.3564, 25.70917, True, False, False
0.6501501, 0.0007569008, 1.56632, -0.2702393, 0.1813626, 0.8167624, -0.2942295, -0.181591, 0.8050005, -0.3384652, 39.96378, 3.599423, 358.5123, 8.092332, 16.83162, 344.4706, 21.37629, 339.1376, 26.07842, True, False, False
0.7504057, 0.0005429201, 1.560776, -0.265303, 0.1821084, 0.8138165, -0.3008051, -0.1804967, 0.8040926, -0.3408265, 41.34953, 2.838476, 358.2425, 8.987062, 16.91382, 344.6712, 22.01789, 339.3166, 26.00234, True, False, False
0.860934, -0.001028299, 1.558522, -0.2620175, 0.1823001, 0.8119892, -0.3058486, -0.1803641, 0.8028407, -0.3428617, 41.82542, 1.741775, 357.5512, 9.540864, 17.1544, 344.7411, 22.31277, 339.0252, 25.81755, True, False, False
0.9610426, -0.001474693, 1.555466, -0.2600183, 0.1822505, 0.8110313, -0.3085427, -0.1792474, 0.8023955, -0.34442, 42.70925, 2.143749, 358.4071, 9.856216, 17.02941, 344.8997, 22.60905, 339.1894, 25.92904, True, False, False
1.072278, -0.0005098917, 1.54126, -0.2505756, 0.1819034, 0.8105707, -0.3069415, -0.179729, 0.8016729, -0.3425598, 46.31802, 2.807939, 358.8171, 9.62997, 18.35424, 343.4148, 22.55583, 337.9997, 27.07497, True, False, False
1.183157, 0.0005760491, 1.516417, -0.2336294, 0.1798429, 0.8114125, -0.2982273, -0.1838155, 0.8058979, -0.3355527, 51.65365, 2.848679, 358.9343, 8.736754, 22.07578, 339.9329, 19.29101, 335.7949, 29.75686, True, False, False
1.294584, 0.0005086325, 1.50206, -0.2264645, 0.1764135, 0.8109042, -0.2930841, -0.1887498, 0.803714, -0.3358359, 54.8542, 3.864011, 359.6497, 8.21664, 23.35554, 338.4526, 19.76024, 334.4717, 29.67806, True, False, False
1.405172, -0.0001736023, 1.500266, -0.2271321, 0.1713238, 0.8093817, -0.2949729, -0.1901445, 0.7992133, -0.34271, 55.43488, 4.60244, 0.1723104, 8.670704, 22.4509, 338.8098, 21.62514, 335.3329, 27.61461, True, False, False
1.505717, -0.0003273934, 1.500933, -0.2301543, 0.1676884, 0.8096344, -0.3005319, -0.1905065, 0.7954761, -0.3465786, 55.86739, 5.437462, 0.4316118, 8.823929, 22.04436, 338.9288, 18.81068, 335.3577, 25.74176, True, False, False
1.616599, -0.002217822, 1.502541, -0.2330628, 0.1626897, 0.8099796, -0.3079791, -0.1867599, 0.7969503, -0.3484306, 55.86646, 5.533579, 0.1941089, 9.364819, 21.00699, 338.9468, 21.3152, 339.1198, 27.49687, True, False, False
1.727772, -0.004012112, 1.505032, -0.235513, 0.1569538, 0.8125111, -0.3114796, -0.1827679, 0.8057014, -0.3426275, 55.38204, 5.432872, 0.3399839, 9.171914, 20.06612, 338.3642, 15.99778, 343.3282, 28.25859, True, False, False
1.838212, -0.005392399, 1.510047, -0.2371185, 0.1525836, 0.8143343, -0.312716, -0.1764331, 0.8231389, -0.3339348, 54.14367, 5.095905, 0.173062, 8.261459, 18.9451, 338.5321, 6.82518, 344.3983, 31.06144, True, False, False
1.949564, -0.006948508, 1.513499, -0.2376945, 0.1528034, 0.81321, -0.3155761, -0.1773691, 0.8269095, -0.3335032, 53.09428, 4.277856, 359.3766, 7.672376, 18.34848, 339.4955, 3.767683, 341.9477, 30.66903, True, False, False
