/Data/20220408150401.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.2300561, -0.01770673, 1.492477, -0.7295486, 0.04846025, 0.9978074, -0.5729665, -0.0241549, 1.083759, -0.5298229, 358.5865, 60.38096, 356.7203, 54.41965, 55.76397, 259.6067, 22.44682, 23.88353, 128.9454, True, False, False
0.3328065, -0.04083563, 1.528926, -0.7065622, 0.03983486, 0.9904976, -0.5803512, -0.01251888, 1.088491, -0.5376476, 337.736, 20.11078, 356.1466, 61.53313, 45.47134, 257.8233, 24.91185, 19.98493, 127.044, True, False, False
0.4435241, -0.02714211, 1.528369, -0.7091733, 0.04526091, 0.9917345, -0.5789491, -0.007074237, 1.092636, -0.5387787, 337.8181, 19.36524, 354.9662, 62.00375, 35.95842, 252.6327, 25.93104, 13.01932, 122.9785, True, False, False
0.5440282, -0.01221291, 1.527255, -0.7090755, 0.04953134, 0.9922105, -0.5800356, 0.0009474754, 1.097209, -0.539667, 338.9355, 18.44398, 354.2401, 62.69899, 29.91288, 250.5467, 23.1143, 12.83205, 121.0375, True, False, False
0.6547575, 0.004731394, 1.526886, -0.7071798, 0.06211543, 0.9960529, -0.5829879, 0.01421881, 1.101231, -0.5446063, 341.1442, 16.80265, 354.072, 62.14235, 27.80596, 251.0754, 25.04197, 8.402806, 116.1837, True, False, False
0.7553591, 0.01916057, 1.524874, -0.7062334, 0.07722938, 1.000373, -0.5853723, 0.02775359, 1.106836, -0.5511621, 342.7885, 14.48388, 354.3208, 60.60068, 25.88525, 250.8783, 21.81207, 4.872066, 113.9019, True, False, False
0.8557806, 0.03278726, 1.523919, -0.7065625, 0.08911014, 1.000509, -0.5879282, 0.04038489, 1.108643, -0.5568491, 343.9729, 11.69167, 355.2233, 60.68499, 20.18699, 248.4927, 19.73694, 1.303544, 112.5738, True, False, False
0.9664694, 0.04824404, 1.523528, -0.7079365, 0.1038926, 0.9996246, -0.5897151, 0.05436587, 1.107958, -0.5573939, 344.5861, 8.371047, 355.5924, 58.85582, 22.30661, 252.2703, 16.66623, 6.999933, 114.6752, True, False, False
1.077677, 0.06376983, 1.521969, -0.7091628, 0.1143639, 0.9968514, -0.5944744, 0.06757331, 1.106412, -0.559527, 345.3859, 5.298563, 355.7904, 59.45732, 19.29887, 251.4771, 13.5354, 12.58755, 116.2983, True, False, False
1.189771, 0.07841393, 1.521212, -0.7118186, 0.1279045, 0.9885767, -0.5998734, 0.07973468, 1.098563, -0.5622538, 345.6798, 2.270074, 355.8441, 59.2376, 21.46921, 255.2075, 13.06231, 17.6155, 119.0582, True, False, False
1.299491, 0.09053297, 1.523932, -0.7162932, 0.14422, 0.9735143, -0.6036819, 0.08982384, 1.083475, -0.5631005, 342.7424, 358.3449, 356.2616, 57.21955, 26.82794, 262.9564, 11.28106, 21.29269, 118.7898, True, False, False
1.410131, 0.09887832, 1.529371, -0.7241172, 0.1665896, 0.9399122, -0.5983032, 0.09287405, 1.053076, -0.5515872, 337.5993, 352.4668, 356.8785, 52.5304, 35.24296, 273.7157, 9.903579, 24.11238, 114.1667, True, False, False
1.521275, 0.1088383, 1.535514, -0.7346814, 0.1976891, 0.8756058, -0.5952419, 0.07246161, 1.002712, -0.529451, 332.4587, 347.9479, 357.7026, 53.56531, 45.19831, 287.809, 14.99105, 17.42573, 100.3389, True, False, False
1.621963, 0.1201531, 1.539053, -0.7427704, 0.2386661, 0.8017675, -0.6048919, 0.0337764, 0.9377264, -0.5159587, 328.7524, 345.4783, 358.1707, 55.83334, 58.85188, 306.4696, 25.1542, 6.336223, 89.95954, True, False, False
1.731882, 0.1334332, 1.542423, -0.747698, 0.2928361, 0.7266866, -0.6366228, -0.0227015, 0.8535846, -0.5232238, 325.397, 344.8442, 357.6761, 52.37831, 77.87656, 329.7957, 33.42426, 353.2858, 70.04387, True, False, False
1.83197, 0.1444023, 1.542655, -0.7481686, 0.3347691, 0.6832757, -0.6784745, -0.0770843, 0.7796617, -0.5535654, 323.7515, 345.2181, 356.6976, 49.0452, 91.04131, 345.8267, 41.42735, 337.2225, 53.10044, True, False, False
1.932245, 0.1535097, 1.542856, -0.7460244, 0.3620349, 0.6560313, -0.7261015, -0.1262609, 0.7149634, -0.6125678, 323.4022, 345.9469, 355.7856, 46.54192, 104.3231, 1.188066, 47.14421, 317.4714, 27.70932, True, False, False
2.043042, 0.1605932, 1.542138, -0.7389952, 0.3781543, 0.6444055, -0.7619907, -0.1408942, 0.6835223, -0.6824924, 323.5651, 346.685, 355.4627, 43.8159, 113.8143, 8.004294, 54.2429, 301.6124, 9.756575, True, False, False
2.14326, 0.1645928, 1.540372, -0.7286563, 0.3803573, 0.6433735, -0.7676879, -0.1319532, 0.6738241, -0.7170352, 325.5037, 347.4121, 354.7, 45.26141, 117.4773, 9.170335, 58.01985, 290.4598, 4.037753, True, False, False
2.243284, 0.1655909, 1.536168, -0.7162442, 0.3783145, 0.6436141, -0.7562152, -0.1296453, 0.6718293, -0.7159175, 329.1642, 347.7988, 353.7777, 45.11624, 114.1311, 7.694005, 56.60139, 287.9222, 6.37412, True, False, False
2.343551, 0.1641046, 1.532007, -0.7039418, 0.3731045, 0.6446186, -0.7391609, -0.1292933, 0.6731235, -0.6986226, 333.5466, 347.6903, 353.2195, 44.24452, 107.3416, 5.291368, 53.14821, 293.929, 8.685079, True, False, False
