/Data/20220614175711.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.3533334, -0.09686397, 0.7700977, -2.057018, -0.2250948, 0.8623321, -0.2842865, -0.2250948, 0.8623321, -0.2842865, 358.8897, 183.7792, 21.47685, 296.8074, 345.3484, 356.2718, 296.8074, 345.3484, 356.2718, True, False, False
0.4617468, -0.0967699, 0.7701572, -2.057171, -0.2255812, 0.8706949, -0.2793555, -0.2255812, 0.8706949, -0.2793555, 358.8794, 183.7432, 21.47383, 295.0526, 342.925, 358.9629, 295.0526, 342.925, 358.9629, True, False, False
0.5619375, -0.09691145, 0.770236, -2.057076, -0.2253983, 0.8733044, -0.2782521, -0.2253983, 0.8733044, -0.2782521, 358.8732, 183.7526, 21.46889, 294.5862, 342.6025, 359.4539, 294.5862, 342.6025, 359.4539, True, False, False
0.6729249, -0.09696026, 0.7702115, -2.05713, -0.2253077, 0.873292, -0.2789369, -0.2253077, 0.873292, -0.2789369, 358.8826, 183.7501, 21.47418, 294.7222, 343.0218, 359.1317, 294.7222, 343.0218, 359.1317, True, False, False
0.773432, -0.09679081, 0.7702643, -2.057229, -0.2260311, 0.871491, -0.2809558, -0.2260311, 0.871491, -0.2809558, 358.8883, 183.7599, 21.47568, 295.344, 343.1908, 358.8031, 295.344, 343.1908, 358.8031, True, False, False
0.8843203, -0.0968662, 0.7702368, -2.057307, -0.2273197, 0.871125, -0.2819653, -0.2273197, 0.871125, -0.2819653, 358.8746, 183.757, 21.47071, 295.1867, 343.6611, 358.2183, 295.1867, 343.6611, 358.2183, True, False, False
0.9853268, -0.09679478, 0.7702166, -2.057289, -0.2279806, 0.8726661, -0.2809935, -0.2279806, 0.8726661, -0.2809935, 358.8686, 183.7603, 21.47637, 294.7789, 343.5122, 358.2933, 294.7789, 343.5122, 358.2933, True, False, False
1.095397, -0.09688893, 0.7702307, -2.05715, -0.2272282, 0.8731449, -0.2801948, -0.2272282, 0.8731449, -0.2801948, 358.863, 183.754, 21.46427, 294.731, 343.5955, 358.3996, 294.731, 343.5955, 358.3996, True, False, False
1.206447, -0.0967425, 0.7703204, -2.057167, -0.2257645, 0.8714147, -0.2807775, -0.2257645, 0.8714147, -0.2807775, 358.8695, 183.7578, 21.47465, 295.1335, 343.2253, 358.9116, 295.1335, 343.2253, 358.9116, True, False, False
1.31706, -0.09669122, 0.7702149, -2.057326, -0.2251902, 0.8691704, -0.2825718, -0.2251902, 0.8691704, -0.2825718, 358.8701, 183.7588, 21.4678, 295.6975, 343.4852, 358.7804, 295.6975, 343.4852, 358.7804, True, False, False
1.417284, -0.09670173, 0.7701023, -2.057385, -0.2249908, 0.8691635, -0.2825375, -0.2249908, 0.8691635, -0.2825375, 358.8799, 183.7633, 21.47365, 295.7433, 343.0653, 359.1872, 295.7433, 343.0653, 359.1872, True, False, False
1.517481, -0.09676799, 0.7701503, -2.057215, -0.2245812, 0.8701527, -0.2819033, -0.2245812, 0.8701527, -0.2819033, 358.8584, 183.7579, 21.47429, 295.4298, 343.18, 359.0274, 295.4298, 343.18, 359.0274, True, False, False
1.628205, -0.09696, 0.7701349, -2.056965, -0.2247996, 0.8696289, -0.2824955, -0.2247996, 0.8696289, -0.2824955, 358.8585, 183.7585, 21.4563, 295.5594, 342.8004, 359.3117, 295.5594, 342.8004, 359.3117, True, False, False
1.738756, -0.09690617, 0.7701107, -2.057057, -0.2245417, 0.8691735, -0.2831168, -0.2245417, 0.8691735, -0.2831168, 358.8775, 183.7592, 21.45544, 295.5096, 343.0813, 359.0269, 295.5096, 343.0813, 359.0269, True, False, False
1.839096, -0.09672223, 0.770216, -2.057352, -0.2253518, 0.8671532, -0.2853136, -0.2253518, 0.8671532, -0.2853136, 358.8809, 183.7943, 21.47188, 295.9111, 342.4216, 359.2292, 295.9111, 342.4216, 359.2292, True, False, False
1.939746, -0.0968655, 0.7703273, -2.057251, -0.2261536, 0.8663032, -0.2866855, -0.2261536, 0.8663032, -0.2866855, 358.8595, 183.8154, 21.40761, 295.9866, 342.4609, 359.12, 295.9866, 342.4609, 359.12, True, False, False
2.054122, -0.09656849, 0.7702404, -2.05731, -0.2267919, 0.8667884, -0.2872515, -0.2267919, 0.8667884, -0.2872515, 358.86, 183.8006, 21.43549, 295.8022, 342.4084, 359.0398, 295.8022, 342.4084, 359.0398, True, False, False
