/Data/20211211142115.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.1402567, 0.1628411, 1.259594, -0.02758151, 0.02768373, 0.7840092, 0.0007042885, 0.4654694, 0.7604083, -0.1408286, 80.78374, 276.6289, 14.28434, 290.3169, 290.9588, 328.1833, 32.70139, 111.3657, 9.940622, True, False, False
0.2514213, 0.1647515, 1.260152, -0.04288685, 0.02766228, 0.7841398, 0.0003943443, 0.4600797, 0.7558026, -0.1335158, 78.39313, 268.9247, 8.420258, 290.2885, 290.9261, 328.2266, 33.871, 111.8249, 10.45883, True, False, False
0.3515755, 0.1652874, 1.260436, -0.04500084, 0.02783442, 0.7840411, 0.000459671, 0.4642878, 0.7584316, -0.1392522, 78.34893, 268.9321, 8.633869, 290.27, 290.8066, 328.3875, 33.69597, 112.164, 10.51463, True, False, False
0.4519404, 0.1652552, 1.260984, -0.04630919, 0.02740097, 0.7840845, 0.0004081726, 0.4624243, 0.7578749, -0.1371131, 78.2399, 269.6639, 9.601417, 290.3005, 290.8015, 328.3988, 33.45928, 112.0689, 10.24545, True, False, False
0.5629682, 0.1658544, 1.261251, -0.04716866, 0.02769899, 0.7840447, 0.0006446838, 0.4605069, 0.7562901, -0.1343403, 78.08642, 270.131, 10.13823, 290.2803, 290.8201, 328.3593, 33.52211, 111.9645, 10.18492, True, False, False
0.6735144, 0.165726, 1.26167, -0.04738266, 0.02776909, 0.7841265, 0.0004320145, 0.4586802, 0.7550792, -0.1319852, 77.6994, 270.2534, 10.14867, 290.2934, 290.8123, 328.3709, 33.80874, 111.6021, 10.10672, True, False, False
0.7740719, 0.1656909, 1.262127, -0.04658806, 0.02759933, 0.7840382, 0.0006175041, 0.4597516, 0.755942, -0.1338873, 77.52159, 271.0473, 10.72923, 290.3046, 290.8524, 328.3424, 33.96728, 111.6741, 10.06621, True, False, False
0.8756892, 0.165365, 1.262355, -0.04574253, 0.02756023, 0.7839934, 0.0005450249, 0.460073, 0.7559792, -0.1343355, 77.2594, 270.9832, 10.48534, 290.2966, 290.8552, 328.3227, 34.00698, 111.6949, 9.937875, True, False, False
0.9849938, 0.1651444, 1.263235, -0.04498643, 0.02762747, 0.7841119, 0.0006866455, 0.4639964, 0.757683, -0.1394401, 76.83427, 271.3705, 10.72024, 290.3075, 290.9027, 328.2663, 34.08353, 111.7028, 9.829457, True, False, False
1.095748, 0.16421, 1.265095, -0.04480729, 0.02756405, 0.783998, 0.0005450249, 0.4643078, 0.7582297, -0.1403232, 76.0898, 271.8542, 11.02239, 290.311, 290.9011, 328.2529, 33.92783, 111.6196, 9.748487, True, False, False
1.196128, 0.1638609, 1.266271, -0.04541254, 0.02774, 0.7841427, 0.0005493164, 0.4656458, 0.7590868, -0.1427374, 75.74539, 272.1678, 11.25111, 290.3055, 290.8636, 328.2996, 33.94697, 111.5729, 9.675165, True, False, False
1.30703, 0.1638639, 1.266498, -0.04632318, 0.02759218, 0.7840454, 0.0006694794, 0.4646506, 0.7583682, -0.1417413, 75.72308, 271.6306, 10.76061, 290.3012, 290.8766, 328.3183, 34.00274, 111.4528, 9.620394, True, False, False
1.407515, 0.1633789, 1.266886, -0.04738062, 0.0275116, 0.7840161, 0.0003743172, 0.463151, 0.757157, -0.1395063, 75.5186, 270.8986, 10.22029, 290.2913, 290.8546, 328.3482, 34.14116, 111.4564, 9.710193, True, False, False
1.517838, 0.1628248, 1.268312, -0.04817627, 0.02760267, 0.7840776, 0.0007157326, 0.4609942, 0.7555656, -0.136775, 74.88898, 270.4469, 9.873085, 290.2888, 290.8101, 328.4003, 34.27456, 111.4097, 9.720812, True, False, False
1.629118, 0.1616588, 1.271064, -0.049014, 0.02783298, 0.7841887, 0.0003299713, 0.4553428, 0.7526616, -0.1294651, 73.69818, 269.1747, 8.745404, 290.2749, 290.7977, 328.4129, 34.22551, 111.4195, 9.588184, True, False, False
1.739795, 0.1606727, 1.27351, -0.04884223, 0.02751398, 0.7840618, 0.0006213188, 0.4513545, 0.7504508, -0.1237168, 72.72652, 268.6417, 8.14129, 290.2788, 290.7648, 328.4352, 34.31048, 111.4759, 9.572663, True, False, False
1.840186, 0.1606849, 1.274834, -0.04922377, 0.02755022, 0.7840351, 0.0004658699, 0.448184, 0.7487759, -0.1189213, 72.31216, 268.3195, 7.721847, 290.2933, 290.7776, 328.401, 34.37584, 111.5749, 9.589553, True, False, False
1.950556, 0.1606274, 1.275473, -0.0493635, 0.02744532, 0.7839693, 0.0002369881, 0.4460268, 0.7475979, -0.1164212, 72.03298, 267.7307, 7.102528, 290.261, 290.7518, 328.4389, 34.37057, 112.1023, 9.805898, True, False, False
2.050886, 0.1606257, 1.275589, -0.05036685, 0.02769041, 0.7839062, 0.0005331039, 0.4477901, 0.7482693, -0.1183867, 71.85664, 267.39, 6.89901, 290.2827, 290.7719, 328.4132, 34.59811, 112.2777, 9.910537, True, False, False
2.150897, 0.1607586, 1.275463, -0.05149962, 0.02767229, 0.7840754, 0.0005068779, 0.4493113, 0.7488076, -0.1202002, 71.92385, 266.9022, 6.550655, 290.2916, 290.7869, 328.4109, 34.683, 112.3301, 9.870465, True, False, False
2.261943, 0.1604684, 1.275572, -0.05179255, 0.02741385, 0.7839569, 0.0005540848, 0.449358, 0.7488391, -0.1197762, 71.88129, 266.8114, 6.515174, 290.2943, 290.7712, 328.4163, 34.72828, 112.1417, 9.911757, True, False, False
2.362196, 0.1602157, 1.275656, -0.05205521, 0.02762556, 0.7841389, 0.0001511574, 0.449173, 0.7484438, -0.1194868, 71.84827, 267.0151, 6.744541, 290.2913, 290.7694, 328.3998, 35.06322, 111.8813, 10.01767, True, False, False
2.462439, 0.1599744, 1.275425, -0.05181757, 0.02749157, 0.7840812, 0.0006370544, 0.4510326, 0.7496333, -0.1227508, 71.95833, 266.8304, 6.525169, 290.311, 290.8378, 328.3458, 35.11109, 111.96, 9.973531, True, False, False
2.564994, 0.1598961, 1.275768, -0.05137232, 0.02769899, 0.7840046, 0.0003151894, 0.4497285, 0.748702, -0.1198926, 71.79722, 267.0225, 6.655364, 290.2895, 290.8015, 328.3868, 35.20225, 112.0516, 9.989888, True, False, False
2.666445, 0.1599902, 1.275901, -0.05110964, 0.02746296, 0.7840239, 0.0006699562, 0.4526868, 0.7503144, -0.1239996, 71.77979, 266.9326, 6.502573, 290.2939, 290.821, 328.3661, 35.32619, 112.0756, 10.08172, True, False, False
2.77309, 0.1603854, 1.275795, -0.05019331, 0.02750397, 0.7841267, 0.0005869865, 0.4561195, 0.7519066, -0.1285815, 71.79187, 266.8507, 6.332986, 290.354, 290.8052, 328.386, 35.33472, 112.0978, 10.11258, True, False, False
2.874358, 0.1608679, 1.275918, -0.04939596, 0.02763462, 0.784068, 0.0005722046, 0.4560933, 0.7519132, -0.1285062, 71.71967, 266.8676, 6.17241, 290.3434, 290.803, 328.394, 35.39237, 112.3363, 10.12582, True, False, False
2.978188, 0.1615374, 1.27665, -0.04803491, 0.02761126, 0.7842419, 0.0005879402, 0.4552951, 0.7518644, -0.1276379, 71.66048, 267.0146, 5.987795, 290.3483, 290.8187, 328.3923, 35.36037, 112.5544, 10.10441, True, False, False
3.083666, 0.1624967, 1.278334, -0.04663583, 0.02758741, 0.7841703, 0.0003700256, 0.4582868, 0.7533247, -0.1314459, 71.20493, 266.5121, 5.173034, 290.4797, 290.7859, 328.4059, 35.39423, 112.8423, 10.19311, True, False, False
3.194944, 0.1655402, 1.285984, -0.04460713, 0.02712059, 0.7856471, 0.002058983, 0.4625301, 0.7563204, -0.1373816, 69.72366, 265.0003, 2.858955, 292.9738, 295.3066, 323.3007, 34.89317, 113.2044, 10.61413, True, False, False
3.305969, 0.1719147, 1.302722, -0.04239006, 0.03014278, 0.7906932, 0.008954525, 0.4609222, 0.758187, -0.1394095, 66.4613, 264.2228, 0.8847157, 296.4032, 312.6983, 303.3177, 33.76329, 114.0602, 11.20337, True, False, False
3.417212, 0.1826619, 1.323229, -0.03985937, 0.04279804, 0.8105509, 0.01659393, 0.4621353, 0.7636535, -0.1503806, 63.73705, 264.0958, 359.9201, 299.5962, 316.7166, 295.0778, 31.9102, 116.1966, 13.33804, True, False, False
3.518282, 0.1993299, 1.351888, -0.03632954, 0.07452679, 0.8373002, 0.02817535, 0.463975, 0.7695822, -0.1601639, 60.90517, 265.0441, 359.7799, 298.3162, 315.0513, 291.8357, 31.77956, 118.2003, 14.53238, True, False, False
3.621391, 0.220814, 1.387877, -0.03304256, 0.1253347, 0.860614, 0.0448842, 0.4685621, 0.7805871, -0.173152, 57.23485, 266.0197, 359.6807, 298.063, 313.3339, 290.925, 31.88087, 120.8504, 15.31538, True, False, False
3.727929, 0.2472767, 1.421521, -0.0300784, 0.1858664, 0.8830513, 0.06559277, 0.4685411, 0.7913081, -0.1801128, 54.06816, 267.022, 359.793, 299.4179, 314.0305, 290.155, 34.03854, 121.4087, 15.24816, True, False, False
3.839285, 0.2807194, 1.450809, -0.02730247, 0.2544131, 0.907633, 0.08883429, 0.4677725, 0.8085889, -0.1894789, 51.90379, 268.4158, 0.2938538, 301.1292, 314.6699, 291.1461, 35.61402, 119.7032, 14.39476, True, False, False
