/Data/20211211141157.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.3533334, -0.3903707, 1.562289, -0.001154479, -0.2306952, 1.176365, -0.03352404, -0.1937947, 1.201327, 0.1267271, 52.74421, 117.5529, 2.700542, 277.882, 31.91399, 65.87589, 296.5926, 38.72488, 65.56131, True, False, False
0.4598047, -0.3779451, 1.601215, 0.05726364, -0.2156634, 1.173648, -0.03685188, -0.1821327, 1.198776, 0.1259761, 40.4039, 97.93417, 356.6006, 278.8012, 46.59124, 51.32827, 296.4075, 40.23101, 64.03195, True, False, False
0.5603486, -0.374886, 1.60029, 0.05544103, -0.2136979, 1.174366, -0.03896236, -0.1798801, 1.197961, 0.1231351, 40.78738, 98.78911, 356.9948, 279.0309, 50.06952, 48.3966, 295.9151, 41.17751, 63.15126, True, False, False
0.6716374, -0.3721913, 1.598487, 0.05433295, -0.2148995, 1.173549, -0.0423193, -0.1797686, 1.195143, 0.120892, 41.27402, 99.11292, 356.9033, 279.0463, 51.94701, 46.99345, 296.1751, 43.05981, 61.52298, True, False, False
0.7820833, -0.3701683, 1.598032, 0.05323978, -0.2154531, 1.17055, -0.05413151, -0.1773386, 1.191852, 0.1292472, 41.51618, 99.86111, 357.307, 279.9137, 53.5957, 46.42962, 295.7103, 46.9543, 56.76208, True, False, False
0.8833784, -0.3692395, 1.598481, 0.05249904, -0.209949, 1.168592, -0.08414936, -0.1697059, 1.186632, 0.1532555, 41.39725, 100.1475, 357.1535, 280.3718, 60.99435, 42.37054, 293.2951, 50.03259, 50.54831, True, False, False
0.9931778, -0.3695388, 1.597992, 0.05223043, -0.202528, 1.164083, -0.1238141, -0.1615138, 1.180202, 0.1765614, 41.73903, 101.4462, 357.9444, 282.7485, 73.66703, 34.55109, 293.6937, 54.70612, 42.85359, True, False, False
1.104238, -0.370274, 1.597345, 0.05303524, -0.1936917, 1.165175, -0.1441665, -0.154047, 1.176128, 0.1778002, 42.05216, 102.0565, 359.0125, 284.1275, 84.76174, 25.00908, 293.2046, 56.72423, 41.58017, True, False, False
1.204904, -0.3705794, 1.598119, 0.05392398, -0.1864796, 1.175358, -0.1522141, -0.145978, 1.181205, 0.1758814, 42.02919, 101.6132, 358.4945, 282.8349, 89.80028, 20.82916, 292.4459, 59.05526, 38.56078, True, False, False
1.317768, -0.3722496, 1.599364, 0.05370654, -0.1742349, 1.186496, -0.16045, -0.1307654, 1.192569, 0.1719069, 41.72427, 101.3032, 358.1999, 282.3623, 108.4777, 3.81262, 291.6469, 58.1713, 39.35031, True, False, False
1.425937, -0.3735327, 1.601347, 0.05327863, -0.1554108, 1.1994, -0.1710153, -0.1059484, 1.211534, 0.1728063, 41.16804, 100.815, 357.786, 283.8892, 124.1735, 350.8894, 291.8073, 55.32957, 40.91194, True, False, False
1.526679, -0.3742043, 1.606125, 0.05075399, -0.1336641, 1.22579, -0.1705146, -0.0820117, 1.249599, 0.166193, 40.05051, 101.4784, 357.7623, 282.8812, 137.0012, 338.0817, 289.147, 48.68804, 47.70486, True, False, False
1.637289, -0.3737894, 1.611503, 0.04760056, -0.1154766, 1.255285, -0.1587253, -0.06623554, 1.286498, 0.1502352, 38.92929, 101.8223, 357.7907, 280.5784, 146.6205, 326.5294, 287.3001, 40.95306, 57.07627, True, False, False
1.737565, -0.3718218, 1.614226, 0.04416882, -0.1077499, 1.269838, -0.1489487, -0.06306219, 1.296399, 0.1369772, 38.53635, 101.8853, 357.7545, 279.4065, 154.1783, 317.4984, 287.4605, 40.65517, 58.65504, True, False, False
1.848467, -0.3685136, 1.615116, 0.03947442, -0.1048288, 1.270139, -0.1431432, -0.06604862, 1.287085, 0.1267209, 38.51206, 102.639, 357.5287, 281.1794, 157.9403, 312.6218, 290.2113, 45.25721, 55.14999, True, False, False
1.949158, -0.3647728, 1.614543, 0.03448028, -0.1039085, 1.268704, -0.1361442, -0.0703783, 1.27929, 0.1150017, 38.77295, 104.5188, 358.1345, 280.909, 159.4961, 309.3233, 291.9758, 48.4917, 53.85069, True, False, False
2.059344, -0.3607281, 1.615159, 0.02960077, -0.1037726, 1.270156, -0.1228333, -0.07756948, 1.28189, 0.09711409, 38.85013, 107.0921, 359.3873, 280.3552, 158.1828, 308.2654, 296.2802, 45.6605, 60.82784, True, False, False
2.15969, -0.3567787, 1.617001, 0.02621532, -0.1059337, 1.276306, -0.1047168, -0.08413696, 1.292739, 0.07731342, 38.34078, 108.9479, 0.2577761, 277.2523, 162.1076, 301.6017, 300.5624, 43.41483, 67.23279, True, False, False
2.268971, -0.3538041, 1.617085, 0.02503191, -0.1072907, 1.279785, -0.09457827, -0.0863986, 1.303936, 0.06351042, 38.51941, 109.4606, 0.4015446, 280.1003, 162.3902, 299.2729, 300.3297, 37.68504, 77.43401, True, False, False
2.371106, -0.35052, 1.617332, 0.023472, -0.1119003, 1.285555, -0.08745241, -0.08891821, 1.309901, 0.05220032, 38.46328, 109.7131, 0.3596177, 276.6813, 185.3833, 274.7239, 285.8217, 14.51326, 98.47105, True, False, False
2.477459, -0.3485883, 1.61689, 0.02202275, -0.1107998, 1.28519, -0.09194326, -0.0854578, 1.308144, 0.05235434, 38.75929, 110.0407, 0.540654, 276.3391, 173.9717, 286.1404, 289.1908, 5.619717, 105.5217, True, False, False
2.584743, -0.3470949, 1.616218, 0.02053226, -0.1034927, 1.280172, -0.1099334, -0.07337475, 1.299428, 0.05354166, 38.69942, 111.0455, 1.158923, 273.611, 146.4023, 315.6467, 296.8371, 29.22116, 84.58652, True, False, False
2.689251, -0.3458651, 1.618119, 0.01920462, -0.09672403, 1.276248, -0.1299548, -0.05794668, 1.293219, 0.0567193, 37.18304, 111.7032, 1.607475, 274.9014, 120.7162, 343.789, 300.0995, 26.95018, 84.63756, True, False, False
2.797963, -0.3464735, 1.621459, 0.01594932, -0.09348297, 1.272617, -0.1492949, -0.05081892, 1.289019, 0.05598164, 35.7877, 112.4172, 1.430421, 278.1222, 131.7341, 334.5204, 291.459, 32.81746, 76.59202, True, False, False
2.904075, -0.34905, 1.622006, 0.01285393, -0.0957675, 1.269209, -0.1664023, -0.0409255, 1.284022, 0.06169462, 36.7166, 112.5414, 1.026497, 278.3193, 129.7088, 338.3345, 304.6335, 34.42952, 75.39647, True, False, False
3.009292, -0.350243, 1.624661, 0.009993289, -0.1041527, 1.26814, -0.1973457, -0.03049183, 1.28703, 0.07699728, 37.10407, 112.5828, 0.213252, 276.7979, 115.2246, 356.5717, 300.5633, 24.4318, 84.35725, True, False, False
3.118202, -0.3500781, 1.627728, 0.004856316, -0.1180739, 1.266018, -0.2322612, -0.02627897, 1.293171, 0.08928633, 35.86401, 114.489, 0.9057622, 277.2167, 108.2397, 7.167359, 301.5406, 10.69654, 97.07991, True, False, False
3.223073, -0.3520168, 1.628145, -0.0001877286, -0.1285572, 1.265, -0.2483344, -0.02821541, 1.294354, 0.0856514, 35.19836, 117.9147, 2.907736, 276.8855, 98.18819, 18.65553, 292.7615, 355.1538, 107.6199, True, False, False
3.331233, -0.3559186, 1.627822, -0.002959477, -0.1334243, 1.266549, -0.2446775, -0.03631163, 1.293664, 0.05874825, 34.83061, 120.7014, 4.503639, 276.8725, 107.3984, 9.767959, 290.6746, 1.769242, 105.1191, True, False, False
3.439426, -0.3609667, 1.626006, -0.004477577, -0.1337214, 1.271005, -0.2229195, -0.04792595, 1.292839, 0.02853584, 34.87216, 122.922, 5.443373, 276.1733, 128.4443, 346.6166, 290.067, 8.368049, 102.2103, True, False, False
3.550877, -0.3659892, 1.618368, -0.001262827, -0.1360779, 1.272969, -0.1968436, -0.06058931, 1.288571, 0.01433706, 37.68516, 123.7718, 6.251987, 273.6285, 112.8142, 359.6209, 290.884, 11.5017, 100.7728, True, False, False
3.652649, -0.36867, 1.607322, 0.004680994, -0.1443605, 1.270732, -0.1792073, -0.06829834, 1.281247, 0.01722002, 41.94695, 123.4565, 6.578698, 273.6306, 85.61491, 25.05949, 288.8331, 16.2386, 96.47076, True, False, False
3.762699, -0.3701192, 1.591236, 0.01349543, -0.1638989, 1.253114, -0.1634417, -0.07799244, 1.263375, 0.03799486, 47.10911, 122.5838, 6.82515, 273.6344, 68.74563, 41.18499, 286.8177, 27.8501, 83.0097, True, False, False
3.873458, -0.3694691, 1.578814, 0.0244817, -0.1885457, 1.219751, -0.1466055, -0.09264946, 1.230136, 0.07186842, 51.19006, 120.4577, 5.845695, 275.4629, 36.63765, 73.13459, 287.7489, 30.12811, 77.48874, True, False, False
3.976907, -0.3679767, 1.573949, 0.03513709, -0.2163658, 1.173115, -0.122745, -0.1166177, 1.183153, 0.1007113, 53.05315, 117.5957, 4.4692, 278.2449, 83.71094, 24.80873, 291.8118, 53.39588, 51.56422, True, False, False
4.083048, -0.3686222, 1.57025, 0.04335795, -0.2515807, 1.125368, -0.1007895, -0.1554422, 1.139767, 0.128109, 53.74792, 114.965, 3.058299, 283.1248, 94.42299, 12.71923, 290.3398, 64.47041, 38.85801, True, False, False
4.192427, -0.3793166, 1.570292, 0.04759092, -0.2900867, 1.095469, -0.09795141, -0.1983676, 1.111579, 0.1631031, 53.72396, 111.758, 2.478449, 287.0627, 95.50291, 11.61301, 292.7601, 68.40672, 31.02921, True, False, False
4.296943, -0.3946562, 1.571758, 0.04600142, -0.3255091, 1.07847, -0.122004, -0.2387223, 1.091101, 0.2066979, 53.14341, 108.7785, 1.127263, 288.4359, 92.91518, 15.25196, 292.426, 67.54463, 25.53766, True, False, False
4.401537, -0.4107817, 1.563551, 0.03854746, -0.3599739, 1.05268, -0.1526589, -0.2817225, 1.053629, 0.2422481, 53.74633, 107.9235, 2.941428, 291.3932, 93.75216, 16.03829, 295.7594, 68.11159, 17.78062, True, False, False
4.506955, -0.429685, 1.542547, 0.02754062, -0.383245, 1.023391, -0.1639409, -0.3253956, 1.01065, 0.2464538, 55.54651, 106.6793, 4.195019, 292.3094, 87.27383, 19.73784, 298.0266, 76.17487, 7.695306, True, False, False
4.613443, -0.4574408, 1.527631, 0.0174537, -0.4030385, 0.9990434, -0.1517749, -0.3649087, 0.977787, 0.2265835, 59.04401, 106.2469, 4.017198, 293.3551, 89.49963, 15.57871, 302.1364, 83.69177, 1.331924, True, False, False
4.713885, -0.4772592, 1.527656, 0.008284832, -0.4139218, 0.9876463, -0.1321521, -0.3859296, 0.9661691, 0.2030592, 57.08793, 106.4688, 4.094885, 293.6869, 88.8196, 13.27892, 301.842, 85.37725, 1.659964, True, False, False
4.82451, -0.4956609, 1.526909, 0.00188772, -0.41819, 0.9763302, -0.1118073, -0.3943276, 0.9472362, 0.182116, 56.19389, 105.9406, 4.348497, 294.675, 87.72636, 11.88714, 305.4521, 88.21601, 359.5089, True, False, False
4.935835, -0.5041723, 1.521714, -0.0025029, -0.4220638, 0.9691975, -0.1000051, -0.3951874, 0.9404835, 0.1658287, 56.87586, 104.6137, 3.309363, 294.9246, 90.05898, 8.889352, 306.2534, 90.97242, 357.1077, True, False, False
5.03597, -0.5068632, 1.519439, -0.007296253, -0.4287624, 0.9650983, -0.09443903, -0.3958063, 0.9435577, 0.1521735, 57.25003, 103.313, 2.167641, 295.7275, 89.21576, 8.761203, 307.0535, 88.9565, 358.9313, True, False, False
5.146467, -0.5087827, 1.517837, -0.01256714, -0.4334402, 0.9627172, -0.09645081, -0.3975272, 0.9432861, 0.1450872, 57.20334, 103.933, 2.49683, 296.1042, 89.53112, 8.476513, 306.5985, 90.23491, 358.1965, True, False, False
5.249178, -0.5107259, 1.518843, -0.01715774, -0.4391365, 0.961405, -0.1017947, -0.4010816, 0.9433026, 0.1400199, 56.77258, 105.4211, 3.211977, 296.4229, 90.33166, 7.974802, 307.866, 89.21571, 359.7881, True, False, False
5.349372, -0.512418, 1.522087, -0.02167571, -0.4437184, 0.9618105, -0.1074872, -0.4044695, 0.9428214, 0.1375766, 55.85527, 107.0729, 4.437641, 296.3345, 90.81343, 7.529367, 307.3001, 89.57329, 0.2076031, True, False, False
5.45793, -0.5126106, 1.524988, -0.02654412, -0.4459319, 0.9602103, -0.1135736, -0.4052839, 0.9381179, 0.1373048, 54.89991, 108.3414, 4.758773, 296.5105, 91.35393, 7.544065, 308.221, 89.74143, 359.7716, True, False, False
5.568905, -0.5094028, 1.526385, -0.03138006, -0.4450288, 0.9553463, -0.1156883, -0.4000559, 0.9319412, 0.1373858, 53.86534, 109.7006, 5.155305, 296.4901, 90.7583, 7.835276, 309.1101, 92.60131, 357.7564, True, False, False
5.679333, -0.5007228, 1.521278, -0.03570048, -0.4436712, 0.9472815, -0.1170802, -0.3928041, 0.9238338, 0.1372695, 53.93777, 111.9226, 5.671341, 297.3489, 90.32671, 8.821858, 310.0088, 94.96193, 355.8709, True, False, False
5.779765, -0.4924312, 1.516613, -0.03682686, -0.4453101, 0.9424018, -0.1160707, -0.3882446, 0.9138533, 0.1382322, 54.82635, 114.4054, 7.852784, 298.2711, 91.95079, 7.419, 311.5764, 96.19845, 354.6101, True, False, False
5.8798, -0.4851279, 1.512217, -0.03562729, -0.4474788, 0.9365651, -0.1140857, -0.3870897, 0.9028735, 0.1399474, 55.80394, 114.3984, 8.314886, 299.1575, 91.15746, 7.720194, 313.1664, 95.18114, 354.7768, True, False, False
5.982224, -0.4788263, 1.508872, -0.03285239, -0.4489207, 0.9344072, -0.1123533, -0.3881307, 0.8975036, 0.1391068, 56.59462, 113.5598, 7.886981, 299.7839, 92.61017, 6.920998, 313.8478, 95.43989, 354.569, True, False, False
6.094128, -0.4771433, 1.508046, -0.02998996, -0.4494762, 0.9340081, -0.1108651, -0.3894634, 0.8979077, 0.1385159, 57.11584, 112.6434, 7.148509, 299.7827, 91.24032, 8.09712, 313.7757, 93.97968, 355.6584, True, False, False
6.204377, -0.4783119, 1.511359, -0.02786328, -0.4503202, 0.9358787, -0.1096883, -0.3933773, 0.9015312, 0.1358123, 56.8025, 112.4469, 6.857108, 299.473, 92.25603, 7.387524, 313.1776, 92.79996, 357.247, True, False, False
6.312717, -0.4831064, 1.515859, -0.02718275, -0.4533978, 0.9415442, -0.1101098, -0.3993444, 0.9059507, 0.1340199, 56.24605, 111.8448, 6.086734, 298.0354, 92.73587, 6.671978, 312.9051, 91.73242, 358.5087, True, False, False
6.413078, -0.4886248, 1.517619, -0.02752938, -0.4555144, 0.9474337, -0.1129866, -0.4021769, 0.908853, 0.1332617, 55.57769, 111.9663, 5.350896, 296.2768, 97.95442, 2.35519, 312.959, 91.19234, 359.4922, True, False, False
