/Data/20220917164043.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.3533334, 0.7911316, 0.6521933, -2.257669, 0.1055689, 0.9776648, -0.6652775, -0.05755949, 1.03172, -0.3922982, 357.4773, 173.8841, 0.7162519, 0.4565876, 235.1849, 118.624, 299.9266, 263.4403, 77.31636, True, False, False
0.4564016, 0.7910269, 0.6521276, -2.257755, 0.07647324, 0.9677742, -0.582653, 0.0800972, 1.057748, -0.4854841, 357.486, 173.8695, 0.7209054, 29.08604, 211.1809, 91.46296, 350.0345, 228.6531, 78.6397, True, False, False
0.5570052, 0.7912618, 0.6521136, -2.257498, 0.1002498, 0.9645069, -0.5663724, 0.1019163, 1.047462, -0.5070767, 357.4824, 173.8758, 0.7264451, 26.16682, 226.2071, 98.02563, 348.9082, 251.2975, 72.89432, True, False, False
0.6678616, 0.7910469, 0.6521559, -2.257569, 0.1237493, 0.9536214, -0.5682092, 0.1208448, 1.032731, -0.5149307, 357.492, 173.871, 0.7248451, 44.15154, 235.697, 101.5924, 347.4896, 258.7336, 60.00043, True, False, False
0.768823, 0.7910478, 0.6521738, -2.257743, 0.1304455, 0.93958, -0.584301, 0.132441, 1.016649, -0.5205007, 357.4893, 173.8726, 0.7123042, 45.67833, 232.8628, 97.53532, 340.1821, 261.5186, 46.55131, True, False, False
0.8783404, 0.7910115, 0.6521995, -2.257665, 0.1301117, 0.9386191, -0.6042705, 0.1317811, 0.9996138, -0.5277042, 357.4902, 173.8887, 0.7080045, 39.62244, 219.8944, 89.96739, 327.4517, 273.8201, 25.12791, True, False, False
0.9796609, 0.7910022, 0.6521977, -2.257645, 0.1275425, 0.9453313, -0.611918, 0.1378493, 0.9921355, -0.5302277, 357.4813, 173.8705, 0.718721, 37.13665, 230.4648, 96.79171, 315.2397, 298.6434, 0.3349129, True, False, False
1.089495, 0.7911388, 0.6521596, -2.257569, 0.1357226, 0.9509101, -0.6116562, 0.1529956, 0.9942727, -0.5331111, 357.4855, 173.8778, 0.7227316, 37.09192, 236.2359, 97.97056, 317.6893, 313.8846, 355.9982, True, False, False
1.194685, 0.7910922, 0.652195, -2.25754, 0.1426902, 0.9675488, -0.620563, 0.1635752, 0.9904802, -0.5320263, 357.4878, 173.8708, 0.7199358, 21.14221, 230.7463, 100.1232, 313.5502, 335.6495, 312.7234, True, False, False
1.304798, 0.7911478, 0.6521735, -2.257658, 0.1512027, 0.9835182, -0.6271338, 0.1703339, 0.9878196, -0.530952, 357.483, 173.8803, 0.7177789, 4.886752, 230.4136, 104.533, 316.7301, 348.4446, 280.5273, True, False, False
1.412102, 0.7909253, 0.6521734, -2.257795, 0.1489677, 0.9878893, -0.6296334, 0.1722465, 0.9812049, -0.534204, 357.4817, 173.8744, 0.7094547, 0.4300481, 229.6752, 100.9284, 334.3576, 351.3989, 269.1966, True, False, False
1.512255, 0.7912374, 0.6521143, -2.257401, 0.1444039, 0.992887, -0.6211629, 0.1811509, 0.9683712, -0.5278702, 357.4689, 173.8836, 0.7250401, 353.7935, 246.2698, 97.12154, 337.5332, 350.2935, 259.2509, True, False, False
1.616333, 0.7908733, 0.6521268, -2.257651, 0.1455526, 0.9960933, -0.6235127, 0.1909022, 0.9539237, -0.5301108, 357.4922, 173.8763, 0.7150729, 351.4508, 256.1133, 98.35373, 4.605227, 345.9834, 264.796, True, False, False
1.723021, 0.7910978, 0.6521504, -2.257632, 0.1475406, 0.9863694, -0.6341133, 0.1997643, 0.9465046, -0.5292354, 357.4785, 173.8675, 0.7305439, 352.8728, 248.9781, 97.72623, 30.12939, 336.146, 254.8486, True, False, False
1.834175, 0.7910777, 0.6521727, -2.257621, 0.1610274, 0.9758264, -0.6406369, 0.203577, 0.9450049, -0.5277905, 357.4888, 173.8741, 0.7092556, 351.0208, 245.2923, 97.77599, 43.73189, 349.9376, 253.0908, True, False, False
