/Data/20210616145921.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.2984933, 0.1682022, 0.7160999, -0.2887685, -0.2237515, 0.6803814, -1.142588, -0.2237515, 0.6803814, -1.142588, 349.6049, 305.0475, 2.358691, 306.8023, 135.7425, 181.6293, 306.8023, 135.7425, 181.6293, True, False, False
0.4020977, 0.1682005, 0.7160024, -0.2887943, -0.2237573, 0.6802714, -1.142563, -0.2237573, 0.6802714, -1.142563, 349.6171, 305.0464, 2.354206, 306.8118, 135.7231, 181.6387, 306.8118, 135.7231, 181.6387, True, False, False
0.5027236, 0.1680969, 0.7159712, -0.288894, -0.2235622, 0.6803489, -1.14268, -0.2235622, 0.6803489, -1.14268, 349.614, 305.0369, 2.361505, 306.8108, 135.7215, 181.634, 306.8108, 135.7215, 181.634, True, False, False
0.613552, 0.1681597, 0.7159577, -0.288841, -0.2234554, 0.6802968, -1.14246, -0.2234554, 0.6802968, -1.14246, 349.6074, 305.0517, 2.366431, 306.8142, 135.7147, 181.6509, 306.8142, 135.7147, 181.6509, True, False, False
0.7247013, 0.168152, 0.7159628, -0.2888709, -0.2235689, 0.6805125, -1.142637, -0.2235689, 0.6805125, -1.142637, 349.6099, 305.0405, 2.365914, 306.8139, 135.7271, 181.642, 306.8139, 135.7271, 181.642, True, False, False
0.8249581, 0.1682445, 0.7159865, -0.2888084, -0.2235422, 0.6805642, -1.14256, -0.2235422, 0.6805642, -1.14256, 349.6173, 305.0452, 2.362983, 306.8082, 135.7455, 181.6197, 306.8082, 135.7455, 181.6197, True, False, False
0.9350197, 0.1682304, 0.7160258, -0.2888474, -0.2237716, 0.6805341, -1.142486, -0.2237716, 0.6805341, -1.142486, 349.6206, 305.0413, 2.366126, 306.807, 135.7524, 181.6275, 306.807, 135.7524, 181.6275, True, False, False
1.035473, 0.168112, 0.7159439, -0.2888248, -0.2236052, 0.6805574, -1.14246, -0.2236052, 0.6805574, -1.14246, 349.6203, 305.0522, 2.351396, 306.8007, 135.7218, 181.6449, 306.8007, 135.7218, 181.6449, True, False, False
1.146547, 0.1681035, 0.715961, -0.2887589, -0.2236762, 0.680468, -1.142399, -0.2236762, 0.680468, -1.142399, 349.6228, 305.0491, 2.352446, 306.7938, 135.7077, 181.6589, 306.7938, 135.7077, 181.6589, True, False, False
1.246584, 0.1680971, 0.715986, -0.2887092, -0.2236304, 0.6804969, -1.142359, -0.2236304, 0.6804969, -1.142359, 349.616, 305.0452, 2.351498, 306.7982, 135.691, 181.6693, 306.7982, 135.691, 181.6693, True, False, False
