/Data/20220408151153.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.2299183, -0.0527248, 1.446018, -0.4119986, 0.04775834, 1.142408, -0.1988105, -0.09511602, 1.119005, -0.1928011, 35.87242, 3.57771, 0.02334072, 2.031174, 83.31497, 238.2643, 351.3167, 296.8602, 117.1592, True, False, False
0.3377811, -0.05045979, 1.469279, -0.3761135, 0.04018974, 1.141361, -0.1968299, -0.09715772, 1.120216, -0.1942592, 28.9212, 3.624475, 359.0883, 1.993708, 81.3792, 238.9485, 353.2864, 294.1638, 118.7184, True, False, False
0.4486312, -0.04935653, 1.468436, -0.3766434, 0.04270792, 1.137924, -0.2000881, -0.09105587, 1.116817, -0.1931958, 29.2965, 3.218824, 358.9789, 3.262618, 82.96145, 239.9526, 355.9553, 296.4851, 115.6702, True, False, False
0.5598567, -0.04741266, 1.467097, -0.3766476, 0.05449021, 1.134028, -0.2037636, -0.08411551, 1.114422, -0.1965156, 29.88186, 3.093791, 358.9859, 5.496105, 85.86092, 242.998, 353.1497, 296.9429, 113.8661, True, False, False
0.6599521, -0.04517481, 1.464388, -0.3768218, 0.07095325, 1.129423, -0.2026132, -0.07321966, 1.111335, -0.2000598, 31.13453, 2.950454, 358.7079, 5.699213, 86.11728, 246.9357, 350.5114, 303.1441, 110.2489, True, False, False
0.7706273, -0.04182323, 1.461024, -0.3777214, 0.07912159, 1.123069, -0.2017773, -0.06924713, 1.104442, -0.1983076, 32.88837, 3.621211, 359.186, 4.614068, 85.77362, 248.6314, 345.8223, 306.1354, 108.5303, True, False, False
0.8814884, -0.03824072, 1.455231, -0.3778857, 0.08604634, 1.119381, -0.2066547, -0.08613503, 1.093375, -0.1927264, 35.37756, 4.660158, 359.4449, 353.5408, 90.0026, 246.5544, 342.8467, 298.5518, 107.3772, True, False, False
0.9815566, -0.03643876, 1.451417, -0.3779215, 0.09641969, 1.105538, -0.2125529, -0.1179155, 1.087437, -0.1869301, 36.97911, 5.453697, 359.8354, 345.4492, 93.54948, 247.0934, 331.9341, 285.0385, 110.6476, True, False, False
1.081838, -0.03578296, 1.450082, -0.3786939, 0.107613, 1.092878, -0.2211262, -0.1441004, 1.087512, -0.1884226, 37.63169, 5.883758, 0.3013825, 337.0562, 97.69726, 246.2536, 327.1586, 277.67, 113.9879, True, False, False
1.193296, -0.03584009, 1.44855, -0.3800083, 0.1175139, 1.084556, -0.2344161, -0.1655525, 1.086707, -0.2027289, 38.29116, 5.62809, 0.03517223, 324.1526, 106.5582, 240.894, 316.256, 260.5743, 125.2258, True, False, False
1.303692, -0.03635426, 1.444982, -0.3827259, 0.1203793, 1.074924, -0.233636, -0.1705451, 1.076925, -0.2058369, 39.91061, 5.125532, 0.01181784, 312.1909, 110.2457, 239.7754, 305.6078, 254.6654, 126.8391, True, False, False
1.403971, -0.03652849, 1.442686, -0.3857667, 0.1175847, 1.063446, -0.216977, -0.1683142, 1.061231, -0.1926836, 40.81882, 4.699172, 0.04206013, 304.23, 107.924, 243.4471, 298.3146, 261.8928, 117.4597, True, False, False
1.514788, -0.03567481, 1.441699, -0.3852767, 0.1104324, 1.054229, -0.2010485, -0.1671506, 1.050098, -0.1835679, 41.07018, 4.537028, 359.989, 298.7771, 108.3345, 243.0958, 293.8067, 262.4598, 116.0751, True, False, False
1.625938, -0.03359977, 1.439933, -0.3820219, 0.1040897, 1.047687, -0.1934544, -0.1659919, 1.044743, -0.1861262, 41.55599, 4.725678, 0.1386198, 295.8515, 106.8558, 244.145, 293.9464, 266.7155, 112.1535, True, False, False
1.728255, -0.03174936, 1.440439, -0.3797927, 0.1028078, 1.042535, -0.1949569, -0.1659759, 1.039866, -0.1926134, 41.23034, 4.552979, 0.0537606, 296.2847, 104.6963, 246.1914, 294.8108, 268.2124, 110.3832, True, False, False
1.837263, -0.03089093, 1.439835, -0.3791983, 0.106321, 1.039858, -0.2035912, -0.1673307, 1.035557, -0.1972244, 41.41494, 3.570005, 359.675, 297.1539, 105.7672, 245.9812, 294.4669, 268.2441, 109.6616, True, False, False
1.94776, -0.02950473, 1.440236, -0.3781492, 0.1077029, 1.036307, -0.2069875, -0.1702613, 1.029299, -0.1952488, 41.23312, 3.01707, 359.5518, 298.0075, 104.9442, 247.3817, 294.1549, 272.041, 104.9389, True, False, False
2.058847, -0.02686069, 1.440411, -0.3740542, 0.1022004, 1.031018, -0.1943157, -0.1712409, 1.019765, -0.1973436, 40.84482, 3.28697, 359.683, 296.3828, 104.7841, 247.2713, 294.8669, 272.2909, 103.6539, True, False, False
2.15912, -0.02429936, 1.439295, -0.3695437, 0.09502017, 1.034587, -0.177539, -0.1696061, 1.006637, -0.2057272, 41.27052, 3.741745, 359.78, 294.5147, 104.4877, 246.4096, 294.1669, 275.6914, 99.86799, True, False, False
2.261704, -0.02383913, 1.437736, -0.3658173, 0.09325969, 1.037183, -0.1699569, -0.1715535, 0.9989171, -0.2113153, 41.62867, 4.162039, 359.9471, 294.5064, 108.6545, 241.8875, 292.6048, 276.8153, 97.88541, True, False, False
2.372043, -0.02356014, 1.43431, -0.3573744, 0.07906902, 1.023284, -0.1505851, -0.1733377, 0.991053, -0.2135893, 41.2229, 2.952451, 359.8606, 292.9978, 108.2812, 240.5717, 294.416, 282.6386, 91.84251, True, False, False
2.472186, -0.02143663, 1.419276, -0.337059, 0.05207527, 0.9773716, -0.1058105, -0.175632, 0.9754269, -0.2224184, 40.28739, 1.725103, 359.7773, 288.4196, 106.6974, 240.4254, 295.7656, 280.427, 93.45243, True, False, False
2.581079, -0.02045096, 1.394302, -0.3084428, 0.02156615, 0.9037839, -0.04929781, -0.1799116, 0.9424416, -0.2397789, 39.60485, 1.260787, 359.8348, 281.3905, 79.07478, 269.06, 297.6552, 283.3294, 89.52749, True, False, False
2.692142, -0.02311307, 1.364753, -0.2773804, -0.002336979, 0.82867, -0.009888887, -0.1902027, 0.9047515, -0.2686509, 40.40222, 0.4045037, 0.09725749, 281.2401, 44.97827, 305.2456, 297.8393, 289.3036, 81.18439, True, False, False
2.803306, -0.03016646, 1.341702, -0.2579989, -0.0151639, 0.7704228, -0.001332045, -0.2112066, 0.873776, -0.2970942, 41.9763, 358.7226, 359.0247, 285.8726, 28.68757, 323.6866, 299.678, 296.859, 69.19322, True, False, False
2.914031, -0.03845524, 1.328152, -0.2491081, -0.0145905, 0.7332158, -0.0007189512, -0.2287812, 0.8579603, -0.3114733, 42.11684, 357.3158, 358.7171, 288.887, 19.82938, 334.4028, 300.323, 300.8765, 63.22048, True, False, False
3.014201, -0.04388485, 1.323934, -0.2458594, -0.01076198, 0.7169123, -0.002698302, -0.2379843, 0.8558694, -0.3128577, 42.55358, 356.382, 358.6189, 290.9662, 20.60174, 335.3833, 299.8334, 300.3778, 62.29471, True, False, False
3.125213, -0.04490296, 1.325753, -0.2430663, -0.009895802, 0.7032541, -0.002067566, -0.2400002, 0.8592093, -0.3075536, 41.57003, 356.1416, 358.4672, 293.9767, 12.82267, 342.3683, 300.2034, 299.5265, 62.57922, True, False, False
3.236069, -0.0433073, 1.323495, -0.2470625, -0.0007449389, 0.6994883, -0.005243778, -0.238651, 0.8667094, -0.3000184, 42.13688, 355.7493, 357.9515, 295.3065, 12.28681, 342.2751, 298.8762, 299.5882, 64.14597, True, False, False
3.338675, -0.04408203, 1.342605, -0.2647349, 0.02404177, 0.8132509, -0.06638432, -0.2378798, 0.8914757, -0.3005685, 43.0304, 358.4954, 359.8813, 284.9232, 63.93274, 287.7943, 298.7669, 293.5486, 71.76908, True, False, False
3.446974, -0.04686128, 1.38077, -0.2959417, 0.07825685, 0.9300188, -0.1956689, -0.2287037, 0.920205, -0.3090528, 41.79412, 2.005489, 2.702933, 292.283, 100.3568, 250.6084, 298.4618, 289.69, 78.99893, True, False, False
3.547021, -0.04818097, 1.414137, -0.3319013, 0.135515, 0.9942908, -0.3094813, -0.2146312, 0.9465363, -0.3133701, 40.49859, 3.687188, 3.528524, 296.6486, 105.8137, 249.1583, 297.3704, 291.037, 82.3333, True, False, False
3.648638, -0.04829933, 1.429357, -0.3601783, 0.1718687, 1.019247, -0.3730377, -0.2051359, 0.9644163, -0.3108846, 40.64148, 4.478886, 3.551465, 294.3944, 108.9746, 254.7551, 298.3923, 286.9981, 88.40572, True, False, False
3.75821, -0.04694379, 1.434801, -0.3818234, 0.1856637, 1.028162, -0.3973142, -0.1939738, 0.9721382, -0.3114444, 40.97609, 5.189716, 3.718531, 295.3381, 114.7499, 254.6776, 297.5953, 285.0384, 92.66576, True, False, False
3.859528, -0.04324771, 1.432962, -0.3921244, 0.1800331, 1.019954, -0.3869768, -0.1850362, 0.9643492, -0.3112952, 40.46207, 5.646261, 3.894573, 296.3837, 116.2961, 252.7673, 298.0755, 289.4022, 88.85873, True, False, False
3.969587, -0.03816349, 1.425288, -0.3929572, 0.1621606, 1.014699, -0.3525718, -0.1784252, 0.9593655, -0.3208374, 42.41302, 5.481089, 3.654247, 296.4961, 115.2071, 250.0427, 296.9512, 291.7302, 87.43063, True, False, False
4.080551, -0.0374593, 1.416719, -0.3832105, 0.1400888, 1.007713, -0.3014616, -0.1832898, 0.9461031, -0.3342341, 43.43011, 5.0832, 3.889473, 297.0105, 116.4528, 244.3025, 297.6356, 295.0493, 81.81252, True, False, False
