/Data/20210616160148.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.2823526, 0.05477282, 0.6723973, -0.08183042, 2.085413, 0.6523587, -0.5429701, 2.091797, 0.6365832, -0.618754, 335.9165, 316.7988, 359.4828, 336.8891, 131.5413, 201.313, 281.566, 216.4195, 156.9384, True, False, False
0.3838348, 0.0546715, 0.6723469, -0.0818664, 2.104539, 0.6525418, -0.5379241, 2.121036, 0.64258, -0.6042607, 335.901, 316.8264, 359.4751, 322.0552, 122.6939, 200.856, 315.1194, 230.7864, 147.6172, True, False, False
0.4934357, 0.05468769, 0.6722992, -0.08187306, 2.116623, 0.6454643, -0.528826, 2.130942, 0.6458298, -0.598465, 335.9057, 316.8286, 359.4627, 306.462, 99.4894, 218.6894, 324.4542, 232.9984, 141.9373, True, False, False
0.5944504, 0.05465946, 0.6722825, -0.08180211, 2.120506, 0.6440866, -0.5258752, 2.129498, 0.6452688, -0.5975976, 335.9085, 316.8248, 359.4778, 303.202, 94.74388, 217.8256, 321.9501, 230.2804, 142.4628, True, False, False
0.7058102, 0.05465358, 0.6724106, -0.08173522, 2.120957, 0.6436777, -0.5265518, 2.129546, 0.6444794, -0.5972641, 335.9105, 316.8348, 359.4753, 303.767, 101.9391, 211.3915, 322.3941, 228.6867, 145.5451, True, False, False
0.8172142, 0.05470309, 0.6724484, -0.08174045, 2.120833, 0.6434059, -0.5267442, 2.130693, 0.644895, -0.5974901, 335.905, 316.833, 359.4735, 303.4874, 100.9955, 212.29, 323.2316, 228.3598, 147.6027, True, False, False
0.9271675, 0.05469155, 0.6723799, -0.08166075, 2.121489, 0.6433849, -0.5267147, 2.13211, 0.6451362, -0.5975181, 335.9084, 316.8294, 359.4641, 303.1708, 100.1539, 213.0534, 323.8616, 228.2527, 149.0512, True, False, False
1.027699, 0.05461689, 0.6724051, -0.08177151, 2.121479, 0.6430663, -0.5270212, 2.132793, 0.6451327, -0.5977423, 335.908, 316.8363, 359.4749, 302.91, 99.80985, 213.3223, 325.2214, 228.704, 149.3152, True, False, False
1.137691, 0.05452754, 0.6723428, -0.08185323, 2.121789, 0.6430286, -0.5273323, 2.133376, 0.6453599, -0.5979139, 335.8976, 316.8248, 359.4718, 302.6966, 99.99859, 213.0607, 325.4264, 228.5913, 150.5006, True, False, False
1.276227, 0.05458443, 0.6723566, -0.08188179, 2.121941, 0.6429937, -0.5274373, 2.133539, 0.6450874, -0.5980208, 335.9009, 316.839, 359.4649, 302.6305, 99.68484, 213.3859, 325.6284, 228.3239, 150.9386, True, False, False
